Year,Berkeley Earth (degC),Berkeley Earth uncertainty
1850,-0.24,0.648
1851,-0.12,0.649
1852,-0.09,0.632
1853,-0.10,0.566
1854,-0.09,0.579
1855,-0.08,0.624
1856,-0.20,0.564
1857,-0.34,0.536
1858,-0.14,0.504
1859,-0.03,0.478
1860,-0.18,0.501
1861,-0.26,0.505
1862,-0.35,0.529
1863,-0.13,0.530
1864,-0.13,0.573
1865,-0.03,0.510
1866,0.01,0.516
1867,0.05,0.536
1868,0.01,0.488
1869,-0.01,0.496
1870,-0.07,0.457
1871,-0.10,0.448
1872,-0.07,0.484
1873,-0.04,0.458
1874,-0.09,0.410
1875,-0.13,0.365
1876,-0.13,0.374
1877,0.24,0.393
1878,0.33,0.376
1879,-0.01,0.375
1880,-0.09,0.385
1881,0.04,0.360
1882,-0.03,0.324
1883,-0.08,0.311
1884,-0.25,0.319
1885,-0.21,0.321
1886,-0.25,0.306
1887,-0.29,0.295
1888,-0.08,0.314
1889,0.06,0.294
1890,-0.23,0.294
1891,-0.12,0.299
1892,-0.18,0.287
1893,-0.15,0.274
1894,-0.15,0.273
1895,-0.08,0.277
1896,0.01,0.274
1897,0.03,0.281
1898,-0.18,0.280
1899,-0.01,0.271
1900,0.10,0.277
1901,0.03,0.269
1902,-0.13,0.263
1903,-0.23,0.263
1904,-0.29,0.256
1905,-0.11,0.261
1906,-0.03,0.264
1907,-0.20,0.257
1908,-0.22,0.245
1909,-0.28,0.239
1910,-0.24,0.234
1911,-0.25,0.232
1912,-0.17,0.233
1913,-0.15,0.234
1914,0.04,0.237
1915,0.09,0.242
1916,-0.14,0.249
1917,-0.29,0.254
1918,-0.13,0.256
1919,-0.07,0.262
1920,-0.01,0.249
1921,0.04,0.252
1922,-0.04,0.245
1923,-0.01,0.243
1924,-0.02,0.250
1925,0.03,0.245
1926,0.17,0.244
1927,0.05,0.243
1928,0.06,0.245
1929,-0.12,0.245
1930,0.11,0.249
1931,0.17,0.244
1932,0.13,0.237
1933,-0.07,0.240
1934,0.08,0.237
1935,0.02,0.239
1936,0.09,0.235
1937,0.25,0.238
1938,0.25,0.235
1939,0.23,0.245
1940,0.31,0.259
1941,0.26,0.413
1942,0.27,0.417
1943,0.33,0.416
1944,0.43,0.417
1945,0.30,0.415
1946,0.15,0.309
1947,0.22,0.300
1948,0.13,0.284
1949,0.12,0.251
1950,0.06,0.219
1951,0.24,0.201
1952,0.31,0.222
1953,0.38,0.226
1954,0.18,0.205
1955,0.13,0.185
1956,0.05,0.151
1957,0.28,0.154
1958,0.28,0.148
1959,0.26,0.143
1960,0.21,0.138
1961,0.28,0.121
1962,0.23,0.124
1963,0.27,0.125
1964,0.01,0.125
1965,0.12,0.141
1966,0.19,0.118
1967,0.22,0.110
1968,0.14,0.113
1969,0.29,0.104
1970,0.24,0.087
1971,0.12,0.085
1972,0.23,0.101
1973,0.37,0.091
1974,0.16,0.101
1975,0.23,0.101
1976,0.13,0.117
1977,0.46,0.097
1978,0.34,0.093
1979,0.42,0.080
1980,0.56,0.127
1981,0.59,0.104
1982,0.37,0.090
1983,0.55,0.094
1984,0.38,0.100
1985,0.38,0.094
1986,0.44,0.088
1987,0.57,0.079
1988,0.62,0.083
1989,0.50,0.093
1990,0.69,0.096
1991,0.68,0.086
1992,0.48,0.095
1993,0.53,0.090
1994,0.58,0.085
1995,0.74,0.085
1996,0.62,0.082
1997,0.77,0.091
1998,0.91,0.086
1999,0.67,0.088
2000,0.67,0.075
2001,0.81,0.081
2002,0.91,0.078
2003,0.89,0.079
2004,0.80,0.084
2005,0.96,0.077
2006,0.91,0.079
2007,0.93,0.082
2008,0.80,0.084
2009,0.94,0.090
2010,1.01,0.086
2011,0.90,0.091
2012,0.92,0.089
2013,0.93,0.094
2014,1.01,0.090
2015,1.16,0.084
2016,1.30,0.086
2017,1.19,0.086
2018,1.12,0.099
2019,1.26,0.084
2020,1.28,0.095
2021,1.13,0.083
2022,1.17,0.089
2023,1.46,0.091
2024,1.54,0.098
