Year,Temperature,Uncertainty
1950,0.28,NA
1951,0.27,NA
1952,0.27,NA
1953,0.28,NA
1954,0.25,NA
1955,0.23,NA
1956,0.22,NA
1957,0.22,NA
1958,0.23,NA
1959,0.25,NA
1960,0.26,NA
1961,0.27,NA
1962,0.26,NA
1963,0.25,NA
1964,0.23,NA
1965,0.24,NA
1966,0.25,NA
1967,0.24,NA
1968,0.23,NA
1969,0.23,NA
1970,0.23,NA
1971,0.22,NA
1972,0.22,NA
1973,0.23,NA
1974,0.24,NA
1975,0.25,NA
1976,0.24,NA
1977,0.27,NA
1978,0.28,NA
1979,0.3,NA
1980,0.32,NA
1981,0.37,NA
1982,0.38,NA
1983,0.4,NA
1984,0.42,NA
1985,0.43,NA
1986,0.46,NA
1987,0.48,NA
1988,0.5,NA
1989,0.51,NA
1990,0.53,NA
1991,0.54,NA
1992,0.55,NA
1993,0.54,NA
1994,0.56,NA
1995,0.59,NA
1996,0.61,NA
1997,0.63,NA
1998,0.65,NA
1999,0.67,NA
2000,0.67,NA
2001,0.68,NA
2002,0.72,NA
2003,0.76,NA
2004,0.78,NA
2005,0.8,NA
2006,0.83,NA
2007,0.85,NA
2008,0.84,NA
2009,0.86,NA
2010,0.9,NA
2011,0.9,NA
2012,0.91,NA
2013,0.91,NA
2014,0.93,NA
2015,0.95,NA
2016,0.99,NA
2017,1.01,NA
2018,1.04,NA
2019,1.07,NA
2020,1.1,NA
2021,1.12,NA
2022,1.15,NA
